,Unnamed: 0,aimAction,aimPlayerGridList,avoidCommitPoint,conditionName,crossPoint,decisionSteps,goal,name,noiseNumber,noisePoint,obstacles,playerGrid,reactionTime,target1,target2,targetDiff,trajectory,participantsType,trajLength,posteriors,goalPosteriorList,goalPosterior
12,12,"[(1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0)]","[(1, 0), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (2, 5), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (2, 10), (3, 11), (3, 12), (4, 12), (5, 12), (6, 12)]","(4, 4)",expCondition2,"(6, 6)",6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 0, 0, 0]",yujiahui-f-19,2,"[7, 13]","[(3, 3), (4, 0), (3, 1), (3, 5), (5, 3), (1, 3), (0, 4), (3, 6), (6, 3), (12, 9), (11, 7), (12, 7), (9, 12), (10, 12), (13, 11), (13, 4), (13, 2), (11, 11)]","(0, 0)","[855, 1005, 1463, 1622, 1753, 1890, 2032, 2158, 2300, 2442, 2590, 2736, 2880, 3028, 3178, 3481, 3644, 3760]","(12, 6)","(6, 12)",0,"[(0, 0), [1, 0], [2, 0], [2, 1], [2, 2], [2, 3], [2, 4], [2, 4], [2, 5], [2, 6], [2, 7], [2, 8], [2, 9], [3, 10], [3, 11], [3, 12], [4, 12], [5, 12], [6, 12]]",Human,19,"[[0.5, 0.5], [0.5000343362839402, 0.4999656637160597], [0.5003386106345584, 0.4996613893654415], [0.5003473912872469, 0.49965260871275297], [0.5004255277017435, 0.4995744722982565], [0.4552968825562159, 0.5447031174437841], [0.4541830987411255, 0.5458169012588745], [0.009432535873950326, 0.9905674641260497], [0.00010895759310895842, 0.999891042406891], [3.9445504574425196e-05, 0.9999605544954256], [3.761036991018832e-05, 0.9999623896300898], [2.8658926882873896e-07, 0.9999997134107312], [1.9117708960955853e-09, 0.9999999980882291], [1.9023858745903574e-11, 0.9999999999809761], [1.8943433563280323e-13, 0.9999999999998106], [4.667548219159603e-15, 0.9999999999999954], [2.2763874605549967e-15, 0.9999999999999977], [1.1199368010457688e-15, 0.9999999999999989], [5.544200154095936e-16, 0.9999999999999994]]","[0.5, 0.4999656637160597, 0.4996613893654415, 0.49965260871275297, 0.4995744722982565, 0.5447031174437841, 0.5458169012588745, 0.9905674641260497, 0.999891042406891, 0.9999605544954256, 0.9999623896300898, 0.9999997134107312, 0.9999999980882291, 0.9999999999809761, 0.9999999999998106, 0.9999999999999954, 0.9999999999999977, 0.9999999999999989, 0.9999999999999994]","[0.5        0.49996566 0.49966139 0.49965261 0.49957447 0.54470312
 0.5458169  0.99056746 0.99989104 0.99996055 0.99996239 0.99999971
 1.         1.         1.         1.         1.        ]"
50,50,"[(1, 0), (0, 1), (1, 0), (0, 1), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0)]","[(1, 0), (1, 1), (3, 0), (3, 1), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (3, 8), (3, 9), (3, 10), (4, 10), (5, 10), (6, 10)]","(4, 4)",expCondition2,"(6, 6)",6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0, 0, 0]",yujiahui-f-19,2,"[2, 12]","[(3, 3), (4, 0), (3, 1), (3, 5), (5, 3), (1, 3), (0, 4), (3, 6), (6, 3), (12, 13), (11, 10), (9, 11), (7, 13), (9, 7), (12, 3), (12, 9), (13, 2), (9, 13)]","(0, 0)","[550, 1016, 1231, 1495, 1719, 1917, 2227, 2368, 2488, 2619, 2749, 2874, 3017, 3125, 3258, 3456, 3631, 3749]","(10, 6)","(6, 10)",0,"[(0, 0), [1, 0], [2, 0], [3, 0], [3, 0], [2, 0], [2, 1], [2, 2], [2, 3], [2, 4], [2, 5], [2, 6], [3, 7], [3, 8], [3, 9], [3, 10], [4, 10], [5, 10], [6, 10]]",Human,19,"[[0.5, 0.5], [0.5000131405899394, 0.49998685941006055], [0.4997573010002793, 0.5002426989997206], [0.502925450121697, 0.497074549878303], [0.502589451617604, 0.49741054838239596], [0.5027231266077702, 0.4972768733922297], [0.5026641358434617, 0.4973358641565384], [0.5026630136739196, 0.4973369863260803], [0.4464789826462836, 0.5535210173537164], [0.44575201137037035, 0.5542479886296297], [0.0025358259917795238, 0.9974641740082205], [0.0009195814518396408, 0.9990804185481604], [0.0008978370414479777, 0.999102162958552], [5.784233246177775e-07, 0.9999994215766754], [4.4627318665167064e-10, 0.9999999995537269], [1.0597923466434503e-12, 0.9999999999989402], [5.323460174709975e-13, 0.9999999999994676], [2.681140821422895e-13, 0.9999999999997319], [1.3534056811805348e-13, 0.9999999999998647]]","[0.5, 0.49998685941006055, 0.5002426989997206, 0.497074549878303, 0.49741054838239596, 0.4972768733922297, 0.4973358641565384, 0.4973369863260803, 0.5535210173537164, 0.5542479886296297, 0.9974641740082205, 0.9990804185481604, 0.999102162958552, 0.9999994215766754, 0.9999999995537269, 0.9999999999989402, 0.9999999999994676, 0.9999999999997319, 0.9999999999998647]","[0.5        0.49998686 0.5002427  0.49707455 0.49741055 0.49727687
 0.49733586 0.49733699 0.55352102 0.55424799 0.99746417 0.99908042
 0.99910216 0.99999942 1.         1.         1.        ]"
55,55,"[(1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (0, -1), (0, -1), (0, 1), (1, 0), (1, 0)]","[(1, 14), (2, 14), (2, 13), (2, 12), (2, 11), (2, 10), (2, 9), (2, 9), (2, 8), (2, 7), (2, 6), (2, 5), (3, 5), (4, 5), (4, 4), (4, 3), (4, 4), (5, 4), (6, 4)]","(4, 10)",expCondition2,"(6, 8)",6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0]",yujiahui-f-19,1,[7],"[(3, 11), (0, 10), (1, 11), (5, 11), (3, 9), (3, 13), (4, 14), (6, 11), (3, 8), (3, 2), (0, 1), (12, 11), (13, 10), (12, 10), (9, 2), (13, 2), (13, 4), (13, 14)]","(0, 14)","[535, 705, 992, 1127, 1279, 1424, 1578, 1722, 1866, 2006, 2156, 2293, 2608, 2784, 2961, 3133, 3539, 3796, 4101]","(6, 4)","(10, 8)",0,"[(0, 14), [1, 14], [2, 14], [2, 13], [2, 12], [2, 11], [2, 10], [2, 10], [2, 9], [2, 8], [2, 7], [2, 6], [2, 5], [3, 5], [4, 5], [4, 4], [4, 3], [4, 4], [5, 4], [6, 4]]",Human,20,"[[0.5, 0.5], [0.4999708301841605, 0.5000291698158394], [0.4996294339037974, 0.5003705660962027], [0.49967413731399224, 0.5003258626860078], [0.49966883883866553, 0.5003311611613346], [0.5558186724545622, 0.4441813275454378], [0.5565358236292232, 0.44346417637077673], [0.9974758164266976, 0.002524183573302403], [0.9999919634765965, 8.036523403519989e-06], [0.9999966856334036, 3.3143665964401445e-06], [0.9999967592634793, 3.2407365206853217e-06], [0.999999994439912, 5.560087924261843e-09], [0.9999999999901332, 9.866730532036917e-12], [0.9999999999930799, 6.9200487728103765e-12], [0.9999999999948427, 5.157277504273452e-12], [0.9999999999999957, 4.292067545329364e-15], [0.9999999999700131, 2.998683801495891e-11], [0.9999999999622387, 3.776133943145031e-11], [0.9999999999811413, 1.885867078285904e-11], [0.9999999999905769, 9.423131914233277e-12]]","[0.5, 0.4999708301841605, 0.4996294339037974, 0.49967413731399224, 0.49966883883866553, 0.5558186724545622, 0.5565358236292232, 0.9974758164266976, 0.9999919634765965, 0.9999966856334036, 0.9999967592634793, 0.999999994439912, 0.9999999999901332, 0.9999999999930799, 0.9999999999948427, 0.9999999999999957, 0.9999999999700131, 0.9999999999622387, 0.9999999999811413, 0.9999999999905769]","[0.5        0.49997083 0.49962943 0.49967414 0.49966884 0.55581867
 0.55653582 0.99747582 0.99999196 0.99999669 0.99999676 0.99999999
 1.         1.         1.         1.         1.        ]"
107,107,"[(-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]","[(13, 14), (12, 14), (12, 13), (12, 12), (12, 11), (12, 11), (12, 10), (12, 9), (12, 8), (12, 7), (12, 6), (12, 5), (12, 4), (11, 4), (10, 4), (9, 4), (8, 4)]","(10, 10)",expCondition2,"(8, 8)",6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0]",yujiahui-f-19,1,[5],"[(11, 11), (10, 14), (11, 13), (11, 9), (9, 11), (13, 11), (14, 10), (11, 8), (8, 11), (3, 2), (9, 1), (8, 1), (9, 3), (7, 5), (4, 3), (14, 1), (4, 2), (6, 7)]","(14, 14)","[885, 1098, 1311, 1480, 1618, 1758, 1903, 2034, 2179, 2326, 2467, 2600, 2770, 3051, 3228, 3391, 3536]","(4, 8)","(8, 4)",0,"[(14, 14), [13, 14], [12, 14], [12, 13], [12, 12], [12, 12], [12, 11], [12, 10], [12, 9], [12, 8], [12, 7], [12, 6], [12, 5], [12, 4], [11, 4], [10, 4], [9, 4], [8, 4]]",Human,18,"[[0.5, 0.5], [0.5000879126392008, 0.4999120873607991], [0.5004493073087938, 0.49955069269120633], [0.500492749237841, 0.49950725076215907], [0.5005675730411264, 0.4994324269588736], [0.44431393324320095, 0.5556860667567991], [0.38945240997217934, 0.6105475900278207], [0.38882688333991244, 0.6111731166600876], [0.0019891567834980383, 0.9980108432165019], [0.0006779792122972132, 0.9993220207877027], [0.0006615635802304009, 0.9993384364197696], [1.575581193333439e-06, 0.9999984244188066], [3.186040973697757e-09, 0.999999996813959], [1.8780362800136722e-11, 0.9999999999812197], [9.638355430716275e-12, 0.9999999999903616], [4.984591930699691e-12, 0.9999999999950154], [2.6005788010851203e-12, 0.9999999999973994], [1.3299194564809473e-12, 0.9999999999986701]]","[0.5, 0.4999120873607991, 0.49955069269120633, 0.49950725076215907, 0.4994324269588736, 0.5556860667567991, 0.6105475900278207, 0.6111731166600876, 0.9980108432165019, 0.9993220207877027, 0.9993384364197696, 0.9999984244188066, 0.999999996813959, 0.9999999999812197, 0.9999999999903616, 0.9999999999950154, 0.9999999999973994, 0.9999999999986701]","[0.5        0.49991209 0.49955069 0.49950725 0.49943243 0.55568607
 0.61054759 0.61117312 0.99801084 0.99932202 0.99933844 0.99999842
 1.         1.         1.         1.         1.        ]"
131,131,"[(0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1)]","[(14, 1), (14, 2), (13, 2), (12, 2), (11, 2), (10, 2), (9, 2), (9, 2), (8, 2), (7, 2), (6, 2), (5, 2), (4, 2), (3, 2), (3, 3), (3, 4), (3, 5)]","(10, 4)",expCondition1,"(9, 5)",6,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 0, 0, 0]",yujiahui-f-19,1,[7],"[(11, 3), (14, 4), (13, 3), (9, 3), (11, 5), (11, 1), (10, 0), (1, 7), (5, 6), (8, 9), (2, 11), (7, 13), (6, 11), (2, 3), (8, 6), (7, 10), (1, 9), (2, 0)]","(14, 0)","[563, 722, 956, 1104, 1250, 1382, 1516, 1657, 1821, 1930, 2072, 2215, 2345, 2499, 2637, 2801, 2929]","(9, 11)","(3, 5)",0,"[(14, 0), [14, 1], [14, 2], [13, 2], [12, 2], [11, 2], [10, 2], [10, 2], [9, 2], [8, 2], [7, 2], [6, 2], [5, 2], [4, 2], [3, 2], [3, 3], [3, 4], [3, 5]]",Human,18,"[[0.5, 0.5], [0.5000130363994904, 0.4999869636005097], [0.5004105957896414, 0.4995894042103587], [0.5003379069231993, 0.49966209307680065], [0.500337949131831, 0.499662050868169], [0.4393291240415712, 0.5606708759584288], [0.43852345397856696, 0.5614765460214329], [0.0022329684132471853, 0.997767031586753], [6.412728723066475e-06, 0.999993587271277], [1.8925991250363864e-06, 0.999998107400875], [9.514644135821689e-09, 0.9999999904853559], [4.4613554273000426e-11, 0.9999999999553865], [2.7893032090115713e-13, 0.9999999999997211], [2.806515869458968e-15, 0.9999999999999972], [7.691588035226334e-17, 1.0], [3.841136124013336e-17, 1.0], [1.837501603504708e-17, 1.0], [8.911925582170015e-18, 1.0]]","[0.5, 0.4999869636005097, 0.4995894042103587, 0.49966209307680065, 0.499662050868169, 0.5606708759584288, 0.5614765460214329, 0.997767031586753, 0.999993587271277, 0.999998107400875, 0.9999999904853559, 0.9999999999553865, 0.9999999999997211, 0.9999999999999972, 1.0, 1.0, 1.0, 1.0]","[0.5        0.49998696 0.4995894  0.49966209 0.49966205 0.56067088
 0.56147655 0.99776703 0.99999359 0.99999811 0.99999999 1.
 1.         1.         1.         1.         1.        ]"
184,184,"[(0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1)]","[(14, 1), (14, 2), (14, 3), (13, 3), (13, 3), (14, 2), (13, 2), (12, 2), (12, 1), (11, 1), (11, 1), (12, 2), (11, 2), (10, 2), (9, 2), (8, 2), (7, 2), (6, 2), (5, 2), (4, 2), (4, 3), (4, 4), (4, 5)]","(10, 4)",expCondition1,"(9, 5)",6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 0, 0, 0]",yujiahui-f-19,1,[8],"[(11, 3), (14, 4), (13, 3), (9, 3), (11, 5), (11, 1), (10, 0), (1, 1), (6, 13), (7, 7), (6, 11), (3, 6), (6, 8), (1, 12), (1, 8), (8, 9), (5, 13), (2, 5)]","(14, 0)","[602, 786, 892, 1012, 1175, 1368, 1546, 1735, 1871, 2001, 2159, 2330, 2529, 2725, 2885, 3010, 3144, 3293, 3434, 3570, 3726, 3884, 4021]","(9, 10)","(4, 5)",0,"[(14, 0), [14, 1], [14, 2], [14, 3], [14, 3], [14, 3], [14, 2], [13, 2], [13, 1], [12, 1], [12, 1], [12, 1], [12, 2], [11, 2], [10, 2], [9, 2], [8, 2], [7, 2], [6, 2], [5, 2], [4, 2], [4, 3], [4, 4], [4, 5]]",Human,24,"[[0.5, 0.5], [0.4999794011287093, 0.5000205988712907], [0.5003685830857719, 0.499631416914228], [0.5048626150811366, 0.49513738491886344], [0.5045078605128414, 0.49549213948715864], [0.5041531014055761, 0.4958468985944238], [0.5042653233409533, 0.4957346766590468], [0.5042004882276173, 0.49579951177238263], [0.5041909232560271, 0.49580907674397295], [0.5034610394255223, 0.4965389605744776], [0.5036953891529176, 0.49630461084708244], [0.5039297372566351, 0.49607026274336474], [0.503915409247925, 0.496084590752075], [0.4367978897987675, 0.5632021102012325], [0.4362036216781589, 0.563796378321841], [0.0010448313716217967, 0.9989551686283783], [0.0004447025763132443, 0.9995552974236868], [7.429084215883251e-07, 0.9999992570915784], [1.307154447577147e-09, 0.9999999986928455], [3.9916529995853264e-12, 0.9999999999960083], [3.6140972446366076e-14, 0.9999999999999638], [1.8467456401852475e-14, 0.9999999999999816], [9.528530688687553e-15, 0.9999999999999905], [4.962222000538202e-15, 0.999999999999995]]","[0.5, 0.5000205988712907, 0.499631416914228, 0.49513738491886344, 0.49549213948715864, 0.4958468985944238, 0.4957346766590468, 0.49579951177238263, 0.49580907674397295, 0.4965389605744776, 0.49630461084708244, 0.49607026274336474, 0.496084590752075, 0.5632021102012325, 0.563796378321841, 0.9989551686283783, 0.9995552974236868, 0.9999992570915784, 0.9999999986928455, 0.9999999999960083, 0.9999999999999638, 0.9999999999999816, 0.9999999999999905, 0.999999999999995]","[0.5        0.5000206  0.49963142 0.49513738 0.49549214 0.4958469
 0.49573468 0.49579951 0.49580908 0.49653896 0.49630461 0.49607026
 0.49608459 0.56320211 0.56379638 0.99895517 0.9995553 ]"
227,227,"[(1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1)]","[(1, 14), (2, 14), (2, 13), (2, 12), (2, 11), (2, 10), (3, 9), (3, 9), (3, 9), (4, 10), (5, 10), (6, 10), (7, 10), (7, 9), (7, 8), (6, 8), (6, 7), (6, 6), (6, 5), (6, 4)]","(4, 10)",expCondition2,"(6, 8)",6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 1, 1, 1, 1]",yujiahui-f-19,1,[6],"[(3, 11), (0, 10), (1, 11), (5, 11), (3, 9), (3, 13), (4, 14), (6, 11), (3, 8), (12, 4), (12, 10), (13, 2), (11, 12), (9, 3), (12, 2), (3, 3), (7, 4), (7, 6)]","(0, 14)","[732, 886, 1115, 1284, 1430, 1568, 1718, 1875, 2025, 2202, 2373, 2525, 2667, 2797, 2946, 3203, 3379, 3549, 3684, 3806]","(6, 4)","(10, 8)",0,"[(0, 14), [1, 14], [2, 14], [2, 13], [2, 12], [2, 11], [3, 10], [3, 10], [3, 10], [3, 10], [4, 10], [5, 10], [6, 10], [7, 10], [7, 9], [7, 8], [6, 8], [6, 7], [6, 6], [6, 5], [6, 4]]",Human,21,"[[0.5, 0.5], [0.49995426240862806, 0.5000457375913719], [0.4996315665328081, 0.500368433467192], [0.4996754755626738, 0.5003245244373262], [0.49967040328611656, 0.5003295967138833], [0.555859340780014, 0.44414065921998597], [0.5565763471978489, 0.4434236528021512], [0.5541630253470587, 0.44583697465294114], [0.5517471472096287, 0.44825285279037136], [0.5493288242765297, 0.4506711757234703], [0.5493897255340958, 0.4506102744659042], [0.47957676570104363, 0.5204232342989564], [0.2704491256557828, 0.7295508743442173], [4.541200894386593e-05, 0.9999545879910562], [5.897104340478965e-05, 0.9999410289565952], [0.00011198140692040718, 0.9998880185930795], [0.9935994070244735, 0.00640059297552662], [0.9999999630293547, 3.697064535873561e-08], [0.9999999999997488, 2.5119346593719403e-13], [1.0, 8.38359472199424e-18], [1.0, 3.956799931912188e-22]]","[0.5, 0.49995426240862806, 0.4996315665328081, 0.4996754755626738, 0.49967040328611656, 0.555859340780014, 0.5565763471978489, 0.5541630253470587, 0.5517471472096287, 0.5493288242765297, 0.5493897255340958, 0.47957676570104363, 0.2704491256557828, 4.541200894386593e-05, 5.897104340478965e-05, 0.00011198140692040718, 0.9935994070244735, 0.9999999630293547, 0.9999999999997488, 1.0, 1.0]","[5.00000000e-01 4.99954262e-01 4.99631567e-01 4.99675476e-01
 4.99670403e-01 5.55859341e-01 5.56576347e-01 5.54163025e-01
 5.51747147e-01 5.49328824e-01 5.49389726e-01 4.79576766e-01
 2.70449126e-01 4.54120089e-05 5.89710434e-05 1.11981407e-04
 9.93599407e-01]"
243,243,"[(1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (-1, 0), (0, 1)]","[(1, 14), (2, 14), (2, 13), (2, 12), (2, 11), (2, 10), (2, 9), (2, 8), (2, 7), (2, 6), (2, 5), (2, 4), (3, 4), (3, 3), (3, 2), (4, 2), (5, 2), (6, 2), (7, 2), (7, 3), (6, 2), (6, 3)]","(4, 10)",expCondition2,"(6, 8)",6,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 2, 0, 1, 0]",yujiahui-f-19,1,[12],"[(3, 11), (0, 10), (1, 11), (5, 11), (3, 9), (3, 13), (4, 14), (6, 11), (3, 8), (7, 3), (1, 1), (12, 6), (12, 3), (8, 1), (7, 6), (4, 1), (10, 4), (8, 5)]","(0, 14)","[626, 754, 955, 1113, 1247, 1383, 1511, 1634, 1756, 1867, 1993, 2242, 2370, 2530, 2661, 2833, 3006, 3116, 3293, 3449, 3656, 3888]","(6, 3)","(11, 8)",0,"[(0, 14), [1, 14], [2, 14], [2, 13], [2, 12], [2, 11], [2, 10], [2, 9], [2, 8], [2, 7], [2, 6], [2, 5], [3, 5], [3, 4], [3, 3], [3, 2], [4, 2], [5, 2], [6, 2], [7, 2], [7, 2], [6, 2], [6, 3]]",Human,23,"[[0.5, 0.5], [0.4999604039360219, 0.5000395960639782], [0.49963740499097126, 0.5003625950090287], [0.4996934033550687, 0.5003065966449314], [0.4996825571189516, 0.5003174428810484], [0.5500113797566971, 0.4499886202433029], [0.5509542571885944, 0.44904574281140563], [0.9948929261891842, 0.005107073810815769], [0.9977641613238217, 0.0022358386761782254], [0.997832140531095, 0.0021678594689048766], [0.9999924102713845, 7.589728615491307e-06], [0.9999999745523359, 2.5447664131495886e-08], [0.999999999860632, 1.3936789399427414e-10], [0.9999999999995963, 4.0365210654618363e-13], [0.9999999999999968, 3.298357835440107e-15], [0.9999999999829371, 1.7062935907214507e-11], [0.9999999999879308, 1.2069311538442605e-11], [0.9999999999908002, 9.199708326714447e-12], [0.9999999999907649, 9.235101204044044e-12], [1.2459092265684681e-24, 1.0], [3.2299991332074473e-27, 1.0], [2.5804921690827527e-24, 1.0], [5.870631722385655e-24, 1.0]]","[0.5, 0.4999604039360219, 0.49963740499097126, 0.4996934033550687, 0.4996825571189516, 0.5500113797566971, 0.5509542571885944, 0.9948929261891842, 0.9977641613238217, 0.997832140531095, 0.9999924102713845, 0.9999999745523359, 0.999999999860632, 0.9999999999995963, 0.9999999999999968, 0.9999999999829371, 0.9999999999879308, 0.9999999999908002, 0.9999999999907649, 1.2459092265684681e-24, 3.2299991332074473e-27, 2.5804921690827527e-24, 5.870631722385655e-24]","[0.5        0.4999604  0.4996374  0.4996934  0.49968256 0.55001138
 0.55095426 0.99489293 0.99776416 0.99783214 0.99999241 0.99999997
 1.         1.         1.         1.         1.        ]"
12,12,"[(0, 1), (-1, 0), (-1, 0), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (-1, 0)]","[(14, 1), (13, 1), (12, 1), (12, 2), (11, 2), (10, 2), (9, 2), (8, 2), (7, 2), (6, 2), (5, 2), (4, 2), (4, 3), (4, 4), (4, 5), (3, 5)]","(10, 4)",expCondition1,"(9, 5)",6,"[0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 0, 0, 0, 2]",luyang-f-25,0,[],"[(11, 3), (14, 4), (13, 3), (9, 3), (11, 5), (11, 1), (10, 0), (2, 2), (2, 9), (3, 13), (12, 13), (1, 5), (2, 5), (7, 9), (6, 8), (2, 3), (4, 9), (8, 13)]","(14, 0)","[741, 973, 1140, 1357, 1517, 1692, 1837, 1989, 2140, 2277, 2428, 2557, 2732, 2884, 3213, 3364]","(9, 11)","(3, 5)",0,"[(14, 0), [14, 1], [13, 1], [12, 1], [12, 2], [11, 2], [10, 2], [9, 2], [8, 2], [7, 2], [6, 2], [5, 2], [4, 2], [4, 3], [4, 4], [4, 5], [3, 5]]",Human,17,"[[0.5, 0.5], [0.5000080936463234, 0.49999190635367663], [0.49971290495004084, 0.5002870950499592], [0.499064977966677, 0.5009350220333231], [0.499066290701585, 0.5009337092984151], [0.43874376088481304, 0.5612562391151869], [0.4379503458774512, 0.5620496541225487], [0.0023002443849982394, 0.9976997556150019], [0.0011148267220111349, 0.9988851732779889], [3.932648359060239e-06, 0.9999960673516409], [1.3313648899591642e-08, 0.999999986686351], [7.134927797681496e-11, 0.9999999999286507], [6.733402070570452e-13, 0.9999999999993266], [4.882714113450262e-13, 0.9999999999995117], [4.1393846635740747e-13, 0.999999999999586], [4.109669413683037e-13, 0.9999999999995891], [6.285463374799753e-16, 0.9999999999999993]]","[0.5, 0.49999190635367663, 0.5002870950499592, 0.5009350220333231, 0.5009337092984151, 0.5612562391151869, 0.5620496541225487, 0.9976997556150019, 0.9988851732779889, 0.9999960673516409, 0.999999986686351, 0.9999999999286507, 0.9999999999993266, 0.9999999999995117, 0.999999999999586, 0.9999999999995891, 0.9999999999999993]","[0.5        0.49999191 0.5002871  0.50093502 0.50093371 0.56125624
 0.56204965 0.99769976 0.99888517 0.99999607 0.99999999 1.
 1.         1.         1.         1.         1.        ]"
