,name,reactionTime,trajectory,aimAction,aimPlayerGridList,noisePoint,goal,conditionName,decisionSteps,targetDiff,avoidCommitPoint,crossPoint,obstacles,noiseNumber,playerGrid,target1,target2
0,noise0.0667_softmaxBeta2.5_1,"[1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 3, 3, 3]","[(0, 0), [1, 0], [2, 0], [3, 0], [4, 0], [3, 0], [4, 0], [5, 0], [5, 1], [5, 2], [6, 2], [6, 3], [7, 3], [8, 3]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (1, 0), (0, 1), (1, 0), (1, 0)]","[(1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (4, 0), (5, 0), (5, 1), (5, 2), (6, 2), (6, 3), (7, 3), (8, 3)]",[5],"[0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1]",expCondition1,2,0,"(2, 2)","(3, 3)","[(1, 1), (1, 3), (3, 1), (11, 1), (6, 7), (6, 12), (7, 8), (7, 4), (8, 9), (9, 9), (7, 13), (5, 8), (10, 10), (11, 7), (6, 5), (6, 9), (9, 8), (5, 6)]",1,"(0, 0)","(8, 3)","(3, 8)"
1,noise0.0667_softmaxBeta2.5_1,"[1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3]","[(0, 14), [1, 14], [1, 13], [1, 12], [1, 11], [0, 11], [0, 10], [0, 9], [0, 8], [0, 7], [0, 6], [0, 5], [0, 4]]","[(1, 0), (0, -1), (0, -1), (0, -1), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]","[(1, 14), (1, 13), (1, 12), (1, 11), (0, 11), (0, 10), (0, 9), (0, 8), (0, 7), (0, 6), (0, 5), (0, 4)]",[],"[2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",expCondition2,4,controlAvoid,"(0, 14)","(0, 14)","[(2, 12), (0, 12), (4, 12), (2, 14), (2, 10), (5, 12), (2, 9), (1, 2), (12, 9), (10, 2), (7, 6), (9, 3), (6, 6), (10, 3), (7, 5), (4, 3), (12, 10), (11, 9)]",0,"(0, 14)","(0, 4)","(12, 14)"
2,noise0.0667_softmaxBeta2.5_1,"[1, 1, 1, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 5, 5]","[(0, 14), [1, 14], [2, 14], [1, 14], [2, 14], [2, 14], [2, 13], [3, 13], [3, 13], [3, 12], [3, 13], [3, 12], [3, 11], [4, 11], [4, 10], [5, 10], [6, 10], [7, 10], [8, 10], [9, 10], [9, 9], [10, 9], [11, 9]]","[(0, -1), (1, 0), (0, -1), (1, 0), (1, 0), (0, -1), (1, 0), (1, 0), (0, -1), (0, 1), (0, -1), (0, -1), (1, 0), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (1, 0), (1, 0)]","[(0, 13), (2, 14), (2, 13), (2, 14), (3, 14), (2, 13), (3, 13), (4, 13), (3, 12), (3, 13), (3, 12), (3, 11), (4, 11), (4, 10), (5, 10), (6, 10), (7, 10), (8, 10), (9, 10), (9, 9), (10, 9), (11, 9)]","[1, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0, 2, 2]",controlCondition,0,0,"(-1, 15)","(5, 9)","[(0, 11), (3, 14), (4, 13), (3, 9), (1, 10), (5, 11), (2, 12), (1, 8), (2, 8), (6, 13), (6, 12), (3, 9), (13, 7), (1, 1), (4, 2), (12, 5), (6, 1), (12, 1)]",2,"(0, 14)","(5, 3)","(11, 9)"
3,noise0.0667_softmaxBeta2.5_1,"[0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 4]","[(14, 14), [14, 14], [14, 14], [13, 14], [12, 14], [12, 13], [11, 13], [11, 12], [10, 11], [10, 10], [10, 9], [9, 9], [8, 9], [9, 10], [8, 10], [7, 10], [7, 9], [6, 9], [5, 9], [4, 9]]","[(0, 1), (1, 0), (-1, 0), (-1, 0), (0, -1), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (-1, 0), (-1, 0), (-1, 0)]","[(14, 15), (15, 14), (13, 14), (12, 14), (12, 13), (11, 13), (11, 12), (11, 11), (10, 10), (10, 9), (9, 9), (8, 9), (7, 9), (8, 10), (7, 10), (7, 9), (6, 9), (5, 9), (4, 9)]","[8, 13]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1]",controlCondition,0,1,"(15, 15)","(9, 9)","[(11, 14), (14, 11), (13, 10), (13, 8), (10, 13), (8, 13), (8, 12), (12, 8), (9, 11), (11, 9), (6, 5), (1, 8), (1, 1), (1, 3), (6, 4), (5, 5), (1, 14), (10, 2)]",2,"(14, 14)","(4, 9)","(9, 3)"
4,noise0.0667_softmaxBeta2.5_1,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3]","[(14, 14), [14, 13], [14, 12], [13, 12], [12, 12], [12, 11], [11, 11], [11, 10], [10, 10], [9, 10], [10, 9], [10, 10], [9, 10], [8, 10], [7, 10], [6, 10]]","[(0, -1), (0, -1), (-1, 0), (-1, 0), (0, -1), (-1, 0), (0, -1), (-1, 0), (-1, 0), (-1, 0), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]","[(14, 13), (14, 12), (13, 12), (12, 12), (12, 11), (11, 11), (11, 10), (10, 10), (9, 10), (8, 10), (10, 10), (9, 10), (8, 10), (7, 10), (6, 10)]",[10],"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1]",expCondition2,2,2,"(12, 12)","(10, 10)","[(13, 13), (13, 11), (11, 13), (13, 10), (10, 13), (7, 4), (7, 1), (8, 5), (6, 8), (9, 9), (3, 12), (6, 6), (7, 8), (4, 14), (1, 10), (8, 2), (3, 5), (7, 7)]",1,"(14, 14)","(6, 10)","(10, 4)"
5,noise0.0667_softmaxBeta2.5_1,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 2]","[(14, 0), [14, 1], [14, 2], [14, 3], [14, 4], [14, 5], [14, 6], [14, 7], [14, 8], [14, 9], [14, 10]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]","[(14, 1), (14, 2), (14, 3), (14, 4), (14, 5), (14, 6), (14, 7), (14, 8), (14, 9), (14, 10)]",[],"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",expCondition1,2,controlAvoid,"(14, 0)","(14, 0)","[(13, 1), (11, 1), (13, 3), (6, 6), (3, 8), (4, 3), (13, 10), (8, 9), (2, 4), (5, 9), (8, 10), (6, 5), (3, 13), (2, 6), (7, 9), (2, 10), (1, 0), (1, 4)]",0,"(14, 0)","(14, 10)","(4, 0)"
6,noise0.0667_softmaxBeta2.5_1,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2]","[(1, 0), [2, 0], [3, 0], [4, 0], [5, 0], [5, 1], [6, 1], [6, 2], [7, 2], [8, 2], [8, 3], [9, 3], [9, 4], [10, 4]]","[(1, 0), (0, 1), (1, 0), (1, 0), (0, 1), (1, 0), (0, 1), (1, 0), (0, 1), (0, 1), (1, 0), (0, 1), (1, 0)]","[(2, 0), (2, 1), (4, 0), (5, 0), (5, 1), (6, 1), (6, 2), (7, 2), (7, 3), (8, 3), (9, 3), (9, 4), (10, 4)]","[2, 9]","[0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1]",expCondition2,1,1,"(2, 1)","(4, 4)","[(1, 1), (1, 3), (3, 1), (1, 4), (4, 1), (13, 12), (1, 12), (13, 8), (13, 5), (10, 10), (9, 6), (9, 8), (9, 13), (6, 13), (7, 6), (11, 11), (8, 10), (12, 1)]",2,"(1, 0)","(10, 4)","(4, 11)"
7,noise0.0667_softmaxBeta2.5_1,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3]","[(0, 0), [0, 1], [0, 2], [1, 2], [2, 2], [2, 3], [2, 4], [3, 4], [4, 4], [5, 4], [4, 4], [5, 4], [6, 4], [7, 4], [8, 4], [9, 4]]","[(0, 1), (0, 1), (1, 0), (1, 0), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]","[(0, 1), (0, 2), (1, 2), (2, 2), (2, 3), (2, 4), (3, 4), (4, 4), (5, 4), (6, 4), (5, 4), (6, 4), (7, 4), (8, 4), (9, 4)]",[10],"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1]",expCondition2,2,1,"(2, 2)","(4, 4)","[(1, 1), (1, 3), (3, 1), (1, 4), (4, 1), (11, 11), (6, 13), (12, 6), (10, 8), (12, 4), (11, 8), (8, 9), (9, 9), (3, 12), (10, 4), (8, 8), (12, 13), (13, 6)]",1,"(0, 0)","(9, 4)","(4, 10)"
8,noise0.0667_softmaxBeta2.5_1,"[0, 0, 1, 1, 1, 1, 1, 1, 2, 2]","[(0, 13), [0, 12], [0, 11], [0, 10], [1, 10], [1, 9], [1, 8], [2, 8], [2, 7], [2, 6], [3, 6]]","[(0, -1), (0, -1), (0, -1), (1, 0), (0, -1), (0, -1), (1, 0), (0, -1), (0, -1), (1, 0)]","[(0, 12), (0, 11), (0, 10), (1, 10), (1, 9), (1, 8), (2, 8), (2, 7), (2, 6), (3, 6)]",[],"[0, 0, 1, 0, 1, 1, 0, 1, 1, 0]",expCondition1,1,1,"(1, 12)","(3, 11)","[(1, 13), (3, 13), (1, 11), (4, 5), (6, 8), (10, 7), (5, 2), (12, 8), (0, 1), (12, 7), (4, 1), (9, 14), (1, 4), (11, 9), (8, 4), (13, 6), (10, 6), (5, 4)]",0,"(0, 13)","(3, 6)","(9, 11)"
9,noise0.0667_softmaxBeta2.5_1,"[1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3]","[(0, 13), [0, 12], [0, 11], [0, 10], [0, 9], [1, 9], [1, 8], [2, 8], [3, 8], [4, 8], [4, 7], [4, 6], [4, 5]]","[(0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (0, -1), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1)]","[(0, 12), (0, 11), (0, 10), (0, 9), (1, 9), (1, 8), (2, 8), (3, 8), (3, 7), (4, 7), (4, 6), (4, 5)]",[9],"[0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1]",expCondition2,1,0,"(1, 12)","(4, 10)","[(1, 13), (3, 13), (1, 11), (4, 13), (1, 10), (9, 1), (6, 9), (10, 14), (12, 3), (12, 14), (8, 7), (5, 9), (11, 7), (4, 14), (11, 1), (6, 1), (13, 14), (7, 4)]",1,"(0, 13)","(4, 5)","(9, 10)"
