,name,reactionTime,trajectory,aimAction,aimPlayerGridList,noisePoint,goal,conditionName,decisionSteps,targetDiff,avoidCommitPoint,crossPoint,obstacles,noiseNumber,playerGrid,target1,target2
0,noise0.0667_softmaxBeta2.5_19,"[1, 1, 1, 1, 2, 2, 2, 2, 2, 3]","[(13, 5), [13, 6], [13, 7], [12, 7], [12, 8], [11, 8], [11, 9], [11, 8], [11, 9], [10, 9], [10, 10]]","[(0, 1), (0, 1), (-1, 0), (0, 1), (-1, 0), (0, 1), (0, 1), (0, 1), (-1, 0), (0, 1)]","[(13, 6), (13, 7), (12, 7), (12, 8), (11, 8), (11, 9), (11, 10), (11, 9), (10, 9), (10, 10)]",[7],"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",randomCondition,0,2,"(0, 0)","(0, 0)","[(10, 2), (5, 5), (8, 2), (3, 13), (11, 7), (14, 14), (9, 10), (0, 7), (2, 12), (1, 9), (12, 9), (13, 14), (14, 10), (0, 11), (13, 3), (7, 0), (10, 14), (10, 1)]",1,"(13, 5)","(10, 10)","(12, 14)"
1,noise0.0667_softmaxBeta2.5_19,"[1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 3]","[(13, 0), [12, 0], [11, 0], [10, 0], [9, 0], [8, 0], [7, 0], [7, 1], [7, 2], [7, 3], [6, 3], [5, 3], [5, 4]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (0, 1)]","[(12, 0), (11, 0), (10, 0), (9, 0), (8, 0), (7, 0), (7, 1), (7, 2), (7, 3), (6, 3), (5, 3), (5, 4)]",[],"[0, 0, 0, 2, 2, 2, 0, 0, 0, 2, 2, 0]",expCondition2,1,2,"(12, 1)","(10, 4)","[(13, 1), (11, 1), (13, 3), (10, 1), (13, 4), (4, 0), (7, 7), (2, 2), (9, 8), (4, 7), (3, 5), (2, 13), (4, 12), (4, 5), (6, 5), (8, 6), (2, 12), (7, 5)]",0,"(13, 0)","(10, 11)","(5, 4)"
2,noise0.0667_softmaxBeta2.5_19,"[0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2]","[(14, 12), [14, 13], [14, 12], [14, 11], [14, 10], [13, 10], [13, 9], [12, 9], [11, 10], [11, 9], [11, 8], [11, 7], [11, 6]]","[(-1, 0), (0, -1), (0, -1), (0, -1), (-1, 0), (0, -1), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]","[(13, 12), (14, 12), (14, 11), (14, 10), (13, 10), (13, 9), (12, 9), (12, 8), (11, 9), (11, 8), (11, 7), (11, 6)]","[1, 8]","[0, 0, 0, 2, 0, 2, 0, 2, 2, 2, 2, 2]",expCondition1,0,2,"(13, 12)","(11, 11)","[(13, 13), (13, 11), (11, 13), (5, 8), (3, 3), (2, 13), (9, 1), (12, 14), (10, 10), (4, 3), (11, 4), (7, 5), (14, 1), (3, 12), (8, 6), (3, 8), (13, 13), (10, 4)]",2,"(14, 12)","(4, 11)","(11, 6)"
3,noise0.0667_softmaxBeta2.5_19,"[0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 3, 3]","[(13, 14), [12, 14], [13, 14], [12, 14], [12, 13], [12, 13], [12, 12], [11, 12], [11, 11], [11, 10], [11, 9], [11, 8], [10, 8], [10, 7], [10, 6], [10, 5]]","[(-1, 0), (0, -1), (-1, 0), (0, -1), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (0, -1), (0, -1), (0, -1)]","[(12, 14), (12, 13), (12, 14), (12, 13), (13, 13), (12, 12), (12, 11), (11, 11), (11, 10), (11, 9), (11, 8), (10, 8), (10, 7), (10, 6), (10, 5)]","[2, 7]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 2, 2, 2]",expCondition2,1,2,"(12, 13)","(10, 10)","[(13, 13), (13, 11), (11, 13), (13, 10), (10, 13), (4, 8), (9, 7), (2, 1), (10, 1), (3, 3), (4, 2), (14, 14), (7, 5), (1, 8), (4, 7), (6, 1), (5, 9), (3, 2)]",2,"(13, 14)","(3, 10)","(10, 5)"
4,noise0.0667_softmaxBeta2.5_19,"[0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3]","[(0, 14), [0, 13], [0, 12], [1, 12], [2, 12], [2, 11], [2, 10], [2, 10], [3, 10], [4, 10], [5, 10], [6, 10], [7, 10], [8, 10], [9, 10], [9, 9]]","[(0, -1), (0, -1), (1, 0), (1, 0), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1)]","[(0, 13), (0, 12), (1, 12), (2, 12), (2, 11), (2, 10), (3, 10), (3, 10), (4, 10), (5, 10), (6, 10), (7, 10), (8, 10), (9, 10), (9, 9)]",[7],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0]",expCondition1,6,2,"(4, 10)","(5, 9)","[(3, 11), (0, 10), (1, 11), (5, 11), (3, 9), (3, 13), (4, 14), (10, 14), (11, 11), (13, 10), (12, 10), (13, 5), (7, 2), (10, 4), (11, 6), (12, 4), (3, 2), (7, 4)]",1,"(0, 14)","(5, 3)","(9, 9)"
5,noise0.0667_softmaxBeta2.5_19,"[0, 0, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3]","[(0, 12), [0, 11], [0, 11], [0, 10], [0, 9], [0, 8], [0, 7], [1, 7], [1, 6], [1, 5], [1, 4], [2, 4], [3, 4], [3, 3], [4, 3]]","[(0, -1), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (0, -1), (1, 0)]","[(0, 11), (-1, 11), (0, 10), (0, 9), (0, 8), (0, 7), (1, 7), (1, 6), (1, 5), (1, 4), (2, 4), (3, 4), (3, 3), (4, 3)]",[],"[0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0]",expCondition2,0,0,"(1, 12)","(4, 10)","[(1, 13), (3, 13), (1, 11), (4, 13), (1, 10), (1, 13), (8, 9), (3, 14), (12, 3), (0, 2), (11, 4), (7, 6), (10, 13), (6, 3), (8, 1), (13, 3), (12, 12), (4, 14)]",0,"(0, 12)","(4, 3)","(11, 10)"
6,noise0.0667_softmaxBeta2.5_19,"[0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3]","[(2, 14), [3, 14], [4, 14], [5, 14], [5, 13], [4, 14], [5, 14], [5, 13], [5, 12], [5, 11], [6, 12], [6, 11], [7, 11], [7, 10], [8, 10], [9, 10]]","[(1, 0), (1, 0), (1, 0), (0, -1), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (1, 0), (0, -1), (1, 0), (0, -1), (1, 0), (1, 0)]","[(3, 14), (4, 14), (5, 14), (5, 13), (6, 13), (5, 14), (5, 13), (5, 12), (5, 11), (6, 11), (6, 11), (7, 11), (7, 10), (8, 10), (9, 10)]","[5, 10]","[0, 0, 2, 0, 2, 2, 0, 0, 0, 2, 0, 2, 0, 2, 2]",expCondition2,0,2,"(2, 13)","(4, 10)","[(1, 13), (3, 13), (1, 11), (4, 13), (1, 10), (10, 1), (8, 2), (5, 3), (12, 2), (0, 14), (10, 2), (9, 8), (5, 6), (10, 9), (7, 8), (13, 8), (10, 13), (6, 5)]",2,"(2, 14)","(4, 3)","(9, 10)"
7,noise0.0667_softmaxBeta2.5_19,"[1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3]","[(14, 14), [14, 13], [14, 12], [13, 12], [12, 12], [11, 12], [10, 12], [10, 11], [9, 11], [8, 12], [7, 12], [7, 11], [6, 11], [6, 10], [5, 10]]","[(0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (-1, 0), (-1, 0), (-1, 0), (0, -1), (-1, 0), (0, -1), (-1, 0)]","[(14, 13), (14, 12), (13, 12), (12, 12), (11, 12), (10, 12), (10, 11), (9, 11), (8, 11), (7, 12), (7, 11), (6, 11), (6, 10), (5, 10)]",[9],"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1]",expCondition2,2,1,"(12, 12)","(10, 10)","[(13, 13), (13, 11), (11, 13), (13, 10), (10, 13), (2, 11), (2, 6), (2, 10), (3, 5), (8, 2), (6, 3), (2, 3), (5, 9), (5, 6), (7, 1), (1, 1), (4, 2), (8, 4)]",1,"(14, 14)","(5, 10)","(10, 4)"
8,noise0.0667_softmaxBeta2.5_19,"[0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 3, 3]","[(0, 14), [0, 13], [0, 13], [1, 13], [2, 13], [3, 13], [3, 12], [3, 11], [3, 10], [3, 9], [4, 9], [4, 8], [4, 7], [4, 6], [4, 5]]","[(0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1)]","[(0, 13), (0, 12), (1, 13), (2, 13), (3, 13), (3, 12), (3, 11), (3, 10), (3, 9), (4, 9), (4, 8), (4, 7), (4, 6), (4, 5)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1]",expCondition1,4,1,"(3, 11)","(4, 10)","[(2, 12), (0, 12), (4, 12), (2, 14), (2, 10), (8, 9), (1, 4), (5, 8), (11, 1), (10, 8), (10, 4), (12, 14), (5, 3), (4, 3), (3, 1), (10, 5), (10, 7), (12, 12)]",0,"(0, 14)","(4, 5)","(10, 10)"
9,noise0.0667_softmaxBeta2.5_19,"[0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3]","[(0, 14), [0, 14], [1, 14], [1, 13], [1, 12], [2, 13], [3, 13], [4, 13], [5, 13], [6, 13], [7, 13], [7, 12], [7, 11], [8, 11], [9, 11], [10, 11], [10, 10], [10, 9]]","[(-1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1)]","[(-1, 14), (1, 14), (1, 13), (1, 12), (1, 11), (3, 13), (4, 13), (5, 13), (6, 13), (7, 13), (7, 12), (7, 11), (8, 11), (9, 11), (10, 11), (10, 10), (10, 9)]",[5],"[0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 2, 2, 2, 0, 0]",expCondition2,4,0,"(3, 11)","(5, 9)","[(2, 12), (0, 12), (4, 12), (2, 14), (2, 10), (5, 12), (2, 9), (11, 2), (12, 14), (7, 7), (8, 5), (7, 3), (12, 2), (8, 8), (13, 10), (8, 3), (0, 2), (2, 2)]",1,"(0, 14)","(5, 4)","(10, 9)"
