,name,reactionTime,trajectory,aimAction,aimPlayerGridList,noisePoint,goal,conditionName,decisionSteps,targetDiff,avoidCommitPoint,crossPoint,obstacles,noiseNumber,playerGrid,target1,target2
13,noise0.0667_softmaxBeta2.5_14,"[0, 0, 0, 0, 1, 1, 1, 1, 1]","[(0, 14), [1, 14], [2, 14], [3, 14], [4, 14], [5, 14], [6, 13], [7, 13], [7, 12], [7, 11]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1)]","[(1, 14), (2, 14), (3, 14), (4, 14), (5, 14), (6, 14), (7, 13), (7, 12), (7, 11)]",[6],"[0, 0, 0, 2, 2, 2, 2, 0, 0]",expCondition1,2,0,"(2, 12)","(3, 11)","[(1, 13), (3, 13), (1, 11), (12, 7), (8, 4), (6, 3), (13, 8), (12, 10), (8, 3), (9, 10), (9, 4), (13, 2), (0, 3), (8, 7), (7, 8), (12, 4), (9, 2), (8, 14)]",1,"(0, 14)","(3, 7)","(7, 11)"
14,noise0.0667_softmaxBeta2.5_14,"[1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3]","[(14, 0), [13, 0], [12, 0], [11, 0], [10, 0], [9, 0], [8, 0], [7, 0], [8, 0], [7, 0], [6, 0], [5, 0], [4, 0]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]","[(13, 0), (12, 0), (11, 0), (10, 0), (9, 0), (8, 0), (7, 0), (6, 0), (7, 0), (6, 0), (5, 0), (4, 0)]",[8],"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",expCondition1,2,controlAvoid,"(14, 0)","(14, 0)","[(13, 1), (11, 1), (13, 3), (6, 11), (9, 4), (4, 10), (13, 10), (6, 2), (4, 1), (2, 10), (1, 12), (3, 10), (6, 6), (4, 12), (3, 5), (2, 8), (1, 9), (1, 5)]",1,"(14, 0)","(14, 10)","(4, 0)"
15,noise0.0667_softmaxBeta2.5_14,"[0, 0, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3]","[(0, 0), [1, 0], [1, 1], [1, 2], [1, 3], [1, 4], [1, 5], [1, 6], [1, 7], [1, 8], [2, 7], [3, 7], [3, 8], [4, 8], [5, 7], [5, 8], [5, 9], [5, 10], [5, 11]]","[(1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (0, 1), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]","[(1, 0), (1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (1, 8), (2, 8), (3, 7), (3, 8), (4, 8), (4, 9), (5, 8), (5, 9), (5, 10), (5, 11)]","[10, 14]","[0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 2, 0, 2, 2, 2, 2, 2]",expCondition2,4,0,"(3, 3)","(5, 5)","[(2, 2), (2, 0), (2, 4), (0, 2), (4, 2), (2, 5), (5, 2), (0, 12), (8, 10), (11, 9), (13, 8), (6, 13), (8, 7), (12, 12), (9, 7), (10, 11), (12, 4), (7, 10)]",2,"(0, 0)","(11, 5)","(5, 11)"
16,noise0.0667_softmaxBeta2.5_14,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3]","[(1, 14), [2, 14], [2, 13], [2, 12], [2, 11], [3, 11], [3, 10], [3, 9], [3, 8], [3, 7], [4, 8], [4, 7], [4, 6], [4, 5], [4, 4]]","[(1, 0), (0, -1), (0, -1), (0, -1), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]","[(2, 14), (2, 13), (2, 12), (2, 11), (3, 11), (3, 10), (3, 9), (3, 8), (3, 7), (3, 6), (4, 7), (4, 6), (4, 5), (4, 4)]",[10],"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]",expCondition2,1,1,"(2, 13)","(4, 10)","[(1, 13), (3, 13), (1, 11), (4, 13), (1, 10), (6, 5), (8, 5), (11, 7), (3, 1), (10, 4), (12, 3), (11, 1), (6, 6), (0, 14), (12, 13), (12, 5), (13, 3), (0, 5)]",1,"(1, 14)","(4, 4)","(11, 10)"
17,noise0.0667_softmaxBeta2.5_14,"[1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3]","[(14, 0), [14, 1], [14, 2], [14, 3], [14, 4], [14, 5], [14, 6], [14, 7], [13, 7], [13, 8], [12, 8], [11, 8], [10, 8]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (0, 1), (-1, 0), (-1, 0), (-1, 0)]","[(14, 1), (14, 2), (14, 3), (14, 4), (14, 5), (14, 6), (14, 7), (13, 7), (13, 8), (12, 8), (11, 8), (10, 8)]",[],"[0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0]",expCondition2,2,2,"(12, 2)","(10, 4)","[(13, 1), (11, 1), (13, 3), (10, 1), (13, 4), (9, 5), (7, 10), (4, 9), (2, 10), (3, 13), (10, 10), (6, 7), (1, 12), (4, 6), (12, 9), (9, 6), (5, 13), (7, 11)]",0,"(14, 0)","(10, 8)","(4, 4)"
18,noise0.0667_softmaxBeta2.5_14,"[1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3]","[(0, 0), [0, 1], [1, 1], [1, 2], [1, 3], [2, 3], [3, 3], [4, 3], [5, 3], [6, 3], [7, 3], [7, 4], [7, 5], [8, 5], [9, 5]]","[(0, 1), (1, 0), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (1, 0), (1, 0)]","[(0, 1), (1, 1), (1, 2), (1, 3), (2, 3), (3, 3), (4, 3), (5, 3), (6, 3), (7, 3), (7, 4), (7, 5), (8, 5), (9, 5)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1]",expCondition2,4,2,"(3, 3)","(5, 5)","[(2, 2), (2, 0), (2, 4), (0, 2), (4, 2), (2, 5), (5, 2), (13, 9), (13, 1), (6, 11), (8, 10), (12, 13), (7, 11), (12, 2), (11, 3), (10, 4), (12, 6), (11, 0)]",0,"(0, 0)","(9, 5)","(5, 11)"
19,noise0.0667_softmaxBeta2.5_14,"[1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3]","[(14, 14), [14, 13], [13, 13], [13, 12], [13, 11], [12, 11], [12, 11], [11, 11], [11, 10], [11, 9], [11, 8], [10, 8], [10, 7], [10, 6]]","[(0, -1), (-1, 0), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (-1, 0), (0, -1), (0, -1)]","[(14, 13), (13, 13), (13, 12), (13, 11), (13, 10), (11, 11), (11, 11), (11, 10), (11, 9), (11, 8), (10, 8), (10, 7), (10, 6)]","[5, 6]","[0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 2, 2]",expCondition1,4,2,"(11, 11)","(10, 10)","[(12, 12), (12, 14), (12, 10), (14, 12), (10, 12), (13, 1), (12, 2), (11, 4), (6, 8), (3, 10), (4, 9), (9, 5), (4, 1), (12, 5), (2, 4), (1, 9), (3, 2), (7, 8)]",2,"(14, 14)","(4, 10)","(10, 6)"
20,noise0.0667_softmaxBeta2.5_14,"[1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3]","[(14, 2), [14, 1], [14, 2], [13, 2], [12, 2], [11, 2], [10, 2], [9, 2], [8, 2], [7, 2], [6, 2], [5, 2], [4, 2]]","[(-1, 0), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]","[(13, 2), (14, 2), (13, 2), (12, 2), (11, 2), (10, 2), (9, 2), (8, 2), (7, 2), (6, 2), (5, 2), (4, 2)]",[1],"[2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",expCondition2,0,controlAvoid,"(14, 2)","(14, 2)","[(13, 1), (11, 1), (13, 3), (10, 1), (13, 4), (4, 9), (10, 12), (9, 6), (7, 1), (6, 0), (7, 0), (4, 7), (9, 11), (5, 0), (2, 6), (9, 0), (6, 8), (1, 7)]",1,"(14, 2)","(14, 14)","(4, 2)"
21,noise0.0667_softmaxBeta2.5_14,"[0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3]","[(0, 0), [0, 1], [0, 2], [0, 3], [0, 4], [0, 5], [0, 5], [0, 6], [0, 7], [1, 7], [1, 8], [2, 8], [3, 8], [4, 8]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (0, 1), (1, 0), (1, 0), (1, 0)]","[(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 6), (0, 7), (1, 7), (1, 8), (2, 8), (3, 8), (4, 8)]",[6],"[0, 0, 0, 0, 2, 2, 2, 2, 0, 2, 0, 0, 0]",expCondition2,2,2,"(2, 2)","(4, 4)","[(1, 1), (1, 3), (3, 1), (1, 4), (4, 1), (10, 7), (5, 11), (1, 12), (11, 10), (11, 6), (11, 13), (4, 10), (13, 2), (9, 10), (13, 10), (8, 13), (1, 11), (4, 9)]",1,"(0, 0)","(10, 4)","(4, 8)"
22,noise0.0667_softmaxBeta2.5_14,"[0, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3]","[(14, 14), [14, 13], [14, 12], [14, 11], [14, 11], [14, 12], [13, 12], [12, 12], [11, 12], [10, 12], [9, 12], [8, 12], [8, 11], [7, 11], [6, 11], [5, 11], [5, 10], [5, 9]]","[(0, -1), (0, -1), (0, -1), (-1, 0), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1)]","[(14, 13), (14, 12), (14, 11), (13, 11), (14, 12), (13, 12), (12, 12), (11, 12), (10, 12), (9, 12), (8, 12), (8, 11), (7, 11), (6, 11), (5, 11), (5, 10), (5, 9)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0]",expCondition1,6,1,"(10, 10)","(9, 9)","[(11, 11), (10, 14), (11, 13), (11, 9), (9, 11), (13, 11), (14, 10), (3, 10), (5, 8), (1, 11), (7, 3), (4, 1), (3, 8), (4, 3), (2, 13), (7, 7), (5, 5), (8, 4)]",0,"(14, 14)","(5, 9)","(9, 4)"
